study_x,plot,tree,unique_id,tph,age,volume_m,predicted_volume_m,model
RH,1110,14,RH-1110-14,618,10,0.287285808,0.25294823,RF
RH,1110,14,RH-1110-14,618,11,0.360030865,0.34523064,RF
RH,1110,14,RH-1110-14,618,12,0.432269126,0.394420011,RF
RH,1110,14,RH-1110-14,618,13,0.543656131,0.541202759,RF
RH,1110,14,RH-1110-14,618,14,0.639929408,0.567834344,RF
RH,1110,14,RH-1110-14,618,15,0.744472852,0.679202482,RF
RH,1110,15,RH-1110-15,618,9,0.296681003,0.279034867,RF
RH,1110,15,RH-1110-15,618,10,0.393751325,0.355519407,RF
RH,1110,15,RH-1110-15,618,11,0.504980749,0.464862519,RF
RH,1110,15,RH-1110-15,618,12,0.598014025,0.537585541,RF
RH,1110,15,RH-1110-15,618,13,0.712860649,0.722830781,RF
RH,1110,15,RH-1110-15,618,14,0.870815567,0.774180383,RF
RH,1110,15,RH-1110-15,618,15,1.003746248,0.959331471,RF
RH,1110,16,RH-1110-16,618,9,0.022419829,0.027202465,RF
RH,1110,16,RH-1110-16,618,10,0.023588431,0.028048284,RF
RH,1110,16,RH-1110-16,618,11,0.031712039,0.037014669,RF
RH,1110,16,RH-1110-16,618,12,0.038955553,0.037515226,RF
RH,1110,16,RH-1110-16,618,13,0.039635284,0.045796825,RF
RH,1110,16,RH-1110-16,618,14,0.044844466,0.046463904,RF
RH,1110,16,RH-1110-16,618,15,0.048208951,0.04761682,RF
RH,1110,17,RH-1110-17,618,9,0.159676957,0.146699001,RF
RH,1110,17,RH-1110-17,618,10,0.176830203,0.162865945,RF
RH,1110,17,RH-1110-17,618,11,0.207724655,0.211845507,RF
RH,1110,17,RH-1110-17,618,12,0.241501249,0.224911985,RF
RH,1110,17,RH-1110-17,618,13,0.270585249,0.281106622,RF
RH,1110,17,RH-1110-17,618,14,0.293589176,0.289910727,RF
RH,1110,17,RH-1110-17,618,15,0.317601123,0.312912142,RF
RH,1110,18,RH-1110-18,618,9,0.234515957,0.223906157,RF
RH,1110,18,RH-1110-18,618,10,0.278140467,0.264609009,RF
RH,1110,18,RH-1110-18,618,11,0.32582663,0.318144033,RF
RH,1110,18,RH-1110-18,618,12,0.359820368,0.3507373,RF
RH,1110,18,RH-1110-18,618,13,0.404713682,0.41880551,RF
RH,1110,18,RH-1110-18,618,14,0.461964341,0.444864503,RF
RH,1110,18,RH-1110-18,618,15,0.49190749,0.498654054,RF
RH,1110,19,RH-1110-19,618,9,0.214249709,0.216429597,RF
RH,1110,19,RH-1110-19,618,10,0.255815228,0.24609414,RF
RH,1110,19,RH-1110-19,618,11,0.309485951,0.301028813,RF
RH,1110,19,RH-1110-19,618,12,0.351159544,0.338258901,RF
RH,1110,19,RH-1110-19,618,13,0.386441796,0.40265394,RF
RH,1110,19,RH-1110-19,618,14,0.442482998,0.425614885,RF
RH,1110,19,RH-1110-19,618,15,0.481831919,0.481685581,RF
RH,1110,20,RH-1110-20,618,9,0.234515957,0.201492031,RF
RH,1110,20,RH-1110-20,618,10,0.263143429,0.22490794,RF
RH,1110,20,RH-1110-20,618,11,0.32582663,0.296405714,RF
RH,1110,20,RH-1110-20,618,12,0.386441796,0.332469884,RF
RH,1110,20,RH-1110-20,618,13,0.43288997,0.422638318,RF
RH,1110,20,RH-1110-20,618,14,0.502076112,0.445749957,RF
RH,1110,20,RH-1110-20,618,15,0.533126789,0.512615105,RF
RH,1110,21,RH-1110-21,618,9,0.183288889,0.175041109,RF
RH,1110,21,RH-1110-21,618,10,0.247493007,0.200031055,RF
RH,1110,21,RH-1110-21,618,11,0.342540461,0.301411556,RF
RH,1110,21,RH-1110-21,618,12,0.390639736,0.321194682,RF
RH,1110,21,RH-1110-21,618,13,0.470542091,0.465174014,RF
RH,1110,21,RH-1110-21,618,14,0.559231532,0.484401823,RF
RH,1110,21,RH-1110-21,618,15,0.631568787,0.569849137,RF
RH,1110,22,RH-1110-22,618,9,0.182193003,0.186388381,RF
RH,1110,22,RH-1110-22,618,10,0.24285722,0.23113927,RF
RH,1110,22,RH-1110-22,618,11,0.316522722,0.310852113,RF
