age_group,feature,pct_increase_in_mse,model
14,CI_vol2,14.35094239,SVR
14,CI_vol3,34.5752422,SVR
14,CI_vol4,11.73313209,SVR
14,CI_vol5,14.49654965,SVR
14,CI_sfa1,26.78823535,SVR
14,CI_sfa2,36.37284984,SVR
14,CI_sfa3,35.0258519,SVR
14,CI_sfa4,33.47760207,SVR
14,CI_sfa5,23.91227613,SVR
14,SILVA1,34.06459051,SVR
14,SILVA2,17.87916217,SVR
14,age,0,SVR
15,Carea,120.5897365,SVR
15,mCDst,42.16940574,SVR
15,Z,100.9742121,SVR
15,CArea_1,10.3681644,SVR
15,htlc,30.51960928,SVR
15,CLAI,12.62485165,SVR
15,vol1,44.76225258,SVR
15,vol2,76.15523158,SVR
15,vol3,31.59336605,SVR
15,vol4,28.78649738,SVR
15,vol5,129.6036509,SVR
15,sfa1,46.99066019,SVR
15,sfa2,132.5227577,SVR
15,sfa3,27.34464737,SVR
15,sfa4,16.59191264,SVR
15,sfa5,80.30924998,SVR
15,UndTF,11.11124421,SVR
15,UndPrp,14.66970087,SVR
15,CI_Carea,90.95722232,SVR
15,CI_CArea_1,4.483046485,SVR
15,CI_Z,193.7351383,SVR
15,CI_mCDst,80.7885907,SVR
15,CI_LAI,1.8659635,SVR
15,CI_HTLC,11.39777799,SVR
15,CI_under,17.59673403,SVR
15,CI_under2,7.180744221,SVR
15,CI_vol1,20.7623025,SVR
15,CI_vol2,12.37085466,SVR
15,CI_vol3,29.33444262,SVR
15,CI_vol4,10.44399024,SVR
15,CI_vol5,12.06450074,SVR
15,CI_sfa1,24.324539,SVR
15,CI_sfa2,30.1639435,SVR
15,CI_sfa3,28.26407777,SVR
15,CI_sfa4,26.34958533,SVR
15,CI_sfa5,20.45607933,SVR
15,SILVA1,32.87278298,SVR
15,SILVA2,15.85203923,SVR
15,age,0,SVR
